coin,actual,forecast
TRXUSDT,0.11378,0.12892513
TRXUSDT,0.11213,0.11577884
TRXUSDT,0.11268,0.11744444
TRXUSDT,0.11649,0.121392556
TRXUSDT,0.0649,0.06674193
TRXUSDT,0.12189,0.11737452
TRXUSDT,0.12781,0.12036507
TRXUSDT,0.12612,0.13315044
TRXUSDT,0.13761,0.13010499
TRXUSDT,0.13468,0.13409615
TRXUSDT,0.1372,0.12243129
TRXUSDT,0.1236,0.12447518
TRXUSDT,0.127,0.11545903
TRXUSDT,0.1302,0.12555887
TRXUSDT,0.1539,0.13237596
TRXUSDT,0.06591,0.13088879
TRXUSDT,0.1503,0.15061596
TRXUSDT,0.1546,0.15005477
TRXUSDT,0.1489,0.1495338
TRXUSDT,0.152,0.1483899
TRXUSDT,0.1552,0.1444957
TRXUSDT,0.1565,0.14612797
TRXUSDT,0.1588,0.15010954
TRXUSDT,0.06628,0.14026229
TRXUSDT,0.1603,0.14809528
TRXUSDT,0.1663,0.15005477
TRXUSDT,0.1602,0.1497439
TRXUSDT,0.1677,0.14858992
TRXUSDT,0.1993,0.1522835
TRXUSDT,0.2085,0.14544314
TRXUSDT,0.2049,0.15030774
TRXUSDT,0.3255,0.13803676
TRXUSDT,0.2906,0.29228532
TRXUSDT,0.2513,0.26816344
TRXUSDT,0.07322,0.2603578
TRXUSDT,0.2534,0.23436825
TRXUSDT,0.06895,0.25366622
TRXUSDT,0.067,0.065851465
XRPUSDT,0.5096,0.50995696
XRPUSDT,0.5416,0.50649184
XRPUSDT,0.5176,0.51564044
XRPUSDT,0.4991,0.5498337
XRPUSDT,0.4916,0.49742275
XRPUSDT,0.3294,0.41086003
XRPUSDT,0.4757,0.6133438
XRPUSDT,0.477,1.0419911
XRPUSDT,0.4316,0.7240606
XRPUSDT,0.5205,0.4556152
XRPUSDT,0.5937,0.4512432
XRPUSDT,0.5956,0.65773153
XRPUSDT,0.5607,0.60443705
XRPUSDT,0.6166,0.575664
XRPUSDT,0.5607,1.1386383
XRPUSDT,0.5999,0.5762407
XRPUSDT,0.3375,0.36091504
XRPUSDT,0.5572,0.5895144
XRPUSDT,0.5395,0.53394383
XRPUSDT,0.5866,0.5496239
XRPUSDT,0.5976,0.64671886
XRPUSDT,0.5888,0.6018438
XRPUSDT,0.534,0.5650595
XRPUSDT,0.5305,0.48218772
XRPUSDT,0.3215,0.4048837
XRPUSDT,0.5258,0.5337989
XRPUSDT,0.5284,0.56395775
XRPUSDT,0.514,0.5123077
XRPUSDT,0.6207,0.5069962
XRPUSDT,1.0543,0.6186675
XRPUSDT,1.4331,0.7909399
XRPUSDT,1.9513,0.67841345
XRPUSDT,2.4257,1.5437244
XRPUSDT,2.4217,2.2802212
XRPUSDT,2.239,2.3368607
XRPUSDT,0.824,2.2069104
XRPUSDT,2.0587,1.8868356
XRPUSDT,0.3505,2.1102917
XRPUSDT,0.3578,1.0555309
