coin,actual,forecast
SOLUSDT,200.03,224.72498
SOLUSDT,187.71,194.55411
SOLUSDT,164.53,184.96516
SOLUSDT,137.17,172.55815
SOLUSDT,130.58,130.80498
SOLUSDT,133.48,140.26665
SOLUSDT,132.24,146.26527
SOLUSDT,129.4,149.07506
SOLUSDT,126.03,144.88808
SOLUSDT,125.27,126.506966
TRXUSDT,0.2301,0.11282838
TRXUSDT,0.2547,0.11282838
TRXUSDT,0.2438,0.11282838
TRXUSDT,0.2454,0.11282838
TRXUSDT,0.2471,0.11282838
TRXUSDT,0.2651,0.11282838
TRXUSDT,0.2679,0.11282838
TRXUSDT,0.2723,0.11282838
TRXUSDT,0.2708,0.11282838
TRXUSDT,0.2817,0.11282838
TRXUSDT,0.2739,0.11282838
TRXUSDT,0.2635,0.11282838
TRXUSDT,0.2769,0.11282838
TRXUSDT,0.287,0.11282838
TRXUSDT,0.3028,0.11282838
TRXUSDT,0.314,0.11282838
TRXUSDT,0.3199,0.11282838
TRXUSDT,0.3275,0.11282838
TRXUSDT,0.3383,0.11282838
TRXUSDT,0.3534,0.11282838
TRXUSDT,0.3614,0.11282838
TRXUSDT,0.341,0.11282838
TRXUSDT,0.3312,0.11282838
TRXUSDT,0.3485,0.11282838
TRXUSDT,0.3426,0.11282838
TRXUSDT,0.3357,0.11282838
TRXUSDT,0.3413,0.11282838
TRXUSDT,0.3227,0.11282838
TRXUSDT,0.3205,0.11282838
TRXUSDT,0.3003,0.11282838
TRXUSDT,0.2981,0.11282838
TRXUSDT,0.2906,0.11282838
TRXUSDT,0.2924,0.11282838
TRXUSDT,0.275,0.11282838
TRXUSDT,0.2815,0.11282838
TRXUSDT,0.2868,0.11282838
TRXUSDT,0.2773,0.11282838
TRXUSDT,0.2883,0.11282838
TRXUSDT,0.285,0.11282838
XRPUSDT,1.9218,2.3079715
XRPUSDT,2.1196,2.3875287
XRPUSDT,2.0787,2.522055
XRPUSDT,2.252,2.5267904
XRPUSDT,2.156,2.498301
XRPUSDT,2.367,2.3470953
XRPUSDT,2.428,2.4214046
XRPUSDT,2.3417,2.6458786
XRPUSDT,2.1792,2.3235788
XRPUSDT,2.267,2.2105916
XRPUSDT,2.1655,2.389743
XRPUSDT,2.0172,2.4558659
XRPUSDT,2.2061,2.4236608
XRPUSDT,2.2709,2.5295017
XRPUSDT,2.8361,2.5399206
XRPUSDT,3.454,2.5524623
XRPUSDT,3.2389,3.005981
XRPUSDT,2.948,2.6651988
XRPUSDT,3.187,2.4966307
XRPUSDT,3.0877,2.6183555
XRPUSDT,3.0258,2.488714
XRPUSDT,2.7757,2.497469
XRPUSDT,2.877,2.439828
XRPUSDT,3.0279,2.4775536
XRPUSDT,2.9701,2.5035794
XRPUSDT,2.8674,2.4446652
XRPUSDT,2.9697,2.4873774
XRPUSDT,2.5282,2.4798238
XRPUSDT,2.3908,2.6071982
XRPUSDT,2.6461,2.6172643
XRPUSDT,2.5267,2.4528322
XRPUSDT,2.3662,2.2790635
XRPUSDT,2.2149,2.2765121
XRPUSDT,2.0491,2.2005394
XRPUSDT,2.155,2.3663197
XRPUSDT,2.0442,2.431246
XRPUSDT,1.9784,2.4842064
XRPUSDT,1.9223,2.5284808
XRPUSDT,1.8654,2.5505803
