coin,actual_price,forecast_price
SOLUSDT,218.45,14.946789324687257
SOLUSDT,256.37,15.82053938690054
SOLUSDT,241.96,16.521537641542384
SOLUSDT,229.15,16.38874762779554
SOLUSDT,213.6,85.04530068773794
SOLUSDT,216.19,85.25941925788986
SOLUSDT,190.11,88.16310110202966
SOLUSDT,184.22,42.32350047396767
SOLUSDT,34.94,41.464185799384566
TRXUSDT,0.12007,0.1192987478673458
TRXUSDT,0.1121,0.1189345276555709
TRXUSDT,0.11446,0.11983439751905378
TRXUSDT,0.11688,0.11977883455924562
TRXUSDT,0.1173,0.11954203577304288
TRXUSDT,0.11966,0.06255417316932245
TRXUSDT,0.0631,0.06187150366192242
TRXUSDT,0.12684,0.0599628972669044
TRXUSDT,0.13435,0.06039558098921721
TRXUSDT,0.13449,0.06130854076124825
TRXUSDT,0.1343,0.06381146251081633
TRXUSDT,0.133,0.06422316418694787
TRXUSDT,0.1234,0.0634738755126655
TRXUSDT,0.1267,0.10538299795168897
TRXUSDT,0.1351,0.10544135137879936
TRXUSDT,0.1664,0.10370754632264918
TRXUSDT,0.1577,0.06424523438524332
TRXUSDT,0.06492,0.06413316950008692
TRXUSDT,0.149,0.06422298612702754
TRXUSDT,0.1496,0.06332437353556138
TRXUSDT,0.15,0.06404065405639335
TRXUSDT,0.1536,0.10823582413223348
TRXUSDT,0.1559,0.11100383082836995
TRXUSDT,0.1606,0.1124576268419789
TRXUSDT,0.1567,0.07006288741542296
TRXUSDT,0.06733,0.07055217289289077
TRXUSDT,0.1661,0.07044764751696274
TRXUSDT,0.1609,0.07152846352216713
TRXUSDT,0.1912,0.06490136016973361
TRXUSDT,0.1985,0.07712214790538938
TRXUSDT,0.2011,0.07290759653291295
TRXUSDT,0.3306,0.07108881942609618
TRXUSDT,0.2694,0.10590160464941807
TRXUSDT,0.2967,0.10420870941246449
TRXUSDT,0.2526,0.09557474668605836
TRXUSDT,0.2594,0.0910215291255283
TRXUSDT,0.06624,0.08878431742846381
XRPUSDT,0.5268,0.5530069028377533
XRPUSDT,0.5238,0.5471078319561384
XRPUSDT,0.5257,0.547999980931669
XRPUSDT,0.4986,0.6252524482600542
XRPUSDT,0.4891,0.6296997072782232
XRPUSDT,0.4866,0.4066500461589045
XRPUSDT,0.3223,0.40612645188097873
XRPUSDT,0.4251,0.40020923878968334
XRPUSDT,0.4491,0.4045773004842895
XRPUSDT,0.5697,0.3826069885674599
XRPUSDT,0.6179,0.4004472322101738
XRPUSDT,0.6277,0.40052781231690554
